text,category
연애 문제로 힘들어요,silver
사랑이 식었어요,gold
짝사랑에 빠졌습니다,black
헤어진 연인과 재결합하고 싶어요,silver
외로움을 달래고 싶어요,gold
소개팅에서 좋은 인상을 주고 싶어요,black
장거리 연애로 힘들어요,silver
연애를 시작하기 어렵습니다,gold
연애가 싫어요,black
사랑에 빠졌습니다,silver
이별 후 힘들어요,gold
짝사랑이 끝났어요,black
결혼을 생각하는 중입니다,silver
연애에서 거리를 두고 싶어요,gold
서로의 차이를 극복하고 싶어요,black
다툼이 잦아요,silver
신뢰를 회복하고 싶어요,gold
연애 상담이 필요해요,black
사랑하는 사람과의 미래를 고민해요,silver
좋은 인상을 남기고 싶어요,gold
자신감을 키우고 싶어요,black
혼자 있는 게 편해요,silver
이별 후 다시 만날 가능성을 알고 싶어요,gold
오랜 친구가 연인이 되었어요,black
연애의 불확실성에 대해 걱정합니다,silver
짝사랑의 가능성을 알고 싶어요,gold
헤어진 후 후회합니다,black
이별을 준비하고 있습니다,silver
상대방의 마음을 알고 싶어요,gold
결혼 계획을 고민 중이에요,black
